HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developeing Regions,HDI Rank (2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
158,Mauritania,0.556,64.4,9.4,4.9,"5,075",-20,MRT,Africa,Northern Hemisphere,Medium,SSA,158,822.0,829.0,794.0
63,Mauritius,0.802,73.6,15.2,10.4,"22,025",-1,MUS,Africa,Southern Hemisphere,Very High,SSA,63,74.0,62.5,57.5
169,Malawi,0.512,62.9,12.7,4.5,"1,466",13,MWI,Africa,Southern Hemisphere,Low,SSA,169,867.5,596.5,388.5
62,Malaysia,0.803,74.9,13.3,10.6,"26,658",-8,MYS,Asia,Northern Hemisphere,Very High,EAP,62,43.5,34.0,29.5
139,Namibia,0.615,59.3,11.9,7.2,"8,634",-23,NAM,Africa,Southern Hemisphere,Medium,SSA,139,327.5,307.0,225.5
189,Niger,0.4,61.6,7.0,2.1,"1,240",-3,NER,Africa,Northern Hemisphere,Low,SSA,189,851.0,738.0,574.0
163,Nigeria,0.535,52.7,10.1,7.2,"4,790",-22,NGA,Africa,Northern Hemisphere,Low,SSA,163,1220.0,1089.0,944.5
126,Nicaragua,0.667,73.8,12.6,7.1,"5,625",6,NIC,America,Northern Hemisphere,Medium,LAC,126,206.0,137.0,104.0
10,Netherlands,0.941,81.7,18.7,12.6,"55,979",3,NLD,Europe,Northern Hemisphere,Very High,,10,11.5,10.0,6.0
2,Norway,0.961,83.2,18.2,13.0,"64,660",6,NOR,Europe,Northern Hemisphere,Very High,,2,6.5,5.0,3.0
143,Nepal,0.602,68.4,12.9,5.1,"3,877",10,NPL,Asia,Northern Hemisphere,Medium,SA,143,782.0,429.0,235.5
13,New Zealand,0.937,82.5,20.3,12.9,"44,057",16,NZL,Oceania,Southern Hemisphere,Very High,,13,15.0,11.5,9.5
54,Oman,0.816,72.5,14.6,11.7,"27,054",-2,OMN,Asia,Northern Hemisphere,Very High,AS,54,23.0,19.0,18.5
161,Pakistan,0.544,66.1,8.7,4.5,"4,624",-19,PAK,Asia,Northern Hemisphere,Low,SA,161,358.0,238.5,160.0
61,Panama,0.805,76.2,13.1,10.5,"26,957",-8,PAN,America,Northern Hemisphere,Very High,LAC,61,99.0,85.0,64.0
84,Peru,0.762,72.4,15.4,9.9,"12,246",13,PER,America,Southern Hemisphere,High,LAC,84,201.5,124.0,95.0
116,Philippines,0.699,69.3,13.1,9.0,"8,920",-3,PHL,Asia,Northern Hemisphere,Medium,EAP,116,178.0,152.0,131.0
80,Palau,0.767,66.0,15.8,12.5,"13,819",5,PLW,Oceania,Northern Hemisphere,High,EAP,80,,,
156,Papua New Guinea,0.558,65.4,10.4,4.7,"4,009",-4,PNG,Oceania,Southern Hemisphere,Medium,EAP,156,299.0,208.5,155.5
34,Poland,0.876,76.5,16.0,13.2,"33,034",8,POL,Europe,Northern Hemisphere,Very High,,34,12.0,5.0,2.5
