HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),"Maternal Mortality Ratio (deaths per 100,000 live births) Average (1990-1999)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2000-2010)","Maternal Mortality Ratio (deaths per 100,000 live births) Average (2011-2021)"
106,"Palestine, State of",0.715,73.5,13.4,9.9,"6,583",21,Asia,Northern Hemisphere,High,AS,,,,91.0,57.5,34.5
108,Guyana,0.714,65.7,12.5,8.6,"22,465",-47,America,Northern Hemisphere,High,LAC,0.564,0.5285,0.472,219.0,205.0,174.5
109,South Africa,0.713,62.3,13.6,11.4,"12,948",-17,Africa,Southern Hemisphere,High,SSA,0.485,0.4495,0.42300000000000004,162.0,165.5,140.0
110,Jamaica,0.709,70.5,13.4,9.2,"8,834",4,America,Northern Hemisphere,High,LAC,0.4555,0.4255,0.372,79.0,78.0,79.5
111,Samoa,0.707,72.8,12.4,11.4,"5,308",24,Oceania,Southern Hemisphere,High,EAP,,,0.4485,117.5,73.0,48.5
112,Gabon,0.706,65.8,13.0,9.4,"13,367",-25,Africa,Southern Hemisphere,High,SSA,0.6385000000000001,0.6005,0.5575,408.5,347.0,278.0
112,Lebanon,0.706,75.0,11.3,8.7,"9,526",-1,Asia,Northern Hemisphere,High,AS,,0.445,0.442,39.0,25.5,27.0
114,Indonesia,0.705,67.6,13.7,8.6,"11,466",-11,Asia,Southern Hemisphere,High,EAP,0.577,0.5345,0.47,319.5,250.0,199.0
115,Viet Nam,0.703,73.6,13.0,8.4,"7,867",6,Asia,Northern Hemisphere,High,EAP,0.372,0.3215,0.308,93.5,57.5,45.0
116,Philippines,0.699,69.3,13.1,9.0,"8,920",-3,Asia,Northern Hemisphere,Medium,EAP,0.505,0.481,0.438,178.0,152.0,131.0
117,Botswana,0.693,61.1,12.3,10.3,"16,198",-43,Africa,Southern Hemisphere,Medium,SSA,0.5720000000000001,0.514,0.48750000000000004,251.5,220.5,160.0
118,Kyrgyzstan,0.692,70.0,13.2,11.4,"4,566",26,Asia,Northern Hemisphere,Medium,ECA,0.482,0.4145,0.3795,76.5,79.0,69.5
121,Iraq,0.686,70.4,12.1,7.9,"9,977",-12,Asia,Northern Hemisphere,Medium,AS,0.6945,0.614,0.565,122.5,74.5,73.0
122,Tajikistan,0.685,71.6,11.7,11.3,"4,548",23,Asia,Northern Hemisphere,Medium,ECA,0.5295000000000001,0.38,0.314,67.5,38.0,19.5
123,Belize,0.683,70.5,13.0,8.8,"6,309",6,America,Northern Hemisphere,Medium,LAC,0.5305,0.483,0.4085,83.0,71.5,44.0
123,Morocco,0.683,74.0,14.2,5.9,"7,303",1,Africa,Northern Hemisphere,Medium,AS,0.7235,0.613,0.45899999999999996,253.0,140.0,78.0
125,El Salvador,0.675,70.7,12.7,7.2,"8,296",-8,America,Northern Hemisphere,Medium,LAC,0.5215000000000001,0.47650000000000003,0.4,94.5,63.5,49.5
126,Nicaragua,0.667,73.8,12.6,7.1,"5,625",6,America,Northern Hemisphere,Medium,LAC,0.617,0.5445,0.441,206.0,137.0,104.0
127,Bhutan,0.666,71.8,13.2,5.2,"9,438",-15,Asia,Northern Hemisphere,Medium,SA,,0.526,0.46399999999999997,618.0,335.0,211.0
128,Cabo Verde,0.662,74.1,12.6,6.3,"6,230",2,Africa,Northern Hemisphere,Medium,SSA,,,0.349,226.5,94.0,62.5
129,Bangladesh,0.661,72.4,12.4,7.4,"5,472",4,Asia,Northern Hemisphere,Medium,SA,0.7104999999999999,0.6479999999999999,0.562,520.0,346.0,210.5
130,Tuvalu,0.641,64.5,9.4,10.6,"6,351",-2,Oceania,Southern Hemisphere,Medium,EAP,,,,,,
131,Marshall Islands,0.639,65.3,10.2,10.9,"4,620",12,Oceania,Northern Hemisphere,Medium,EAP,,,,,,
132,India,0.633,67.2,11.9,6.7,"6,590",-6,Asia,Northern Hemisphere,Medium,SA,0.69,0.623,0.5329999999999999,493.5,290.0,165.0
