HDI rank,Country,Human Development Index (HDI Value) ,Continent,Hemisphere,Human Development Groups,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021),Maternal Mortality Ratio Average (1990-1999),Maternal Mortality Ratio Average (2000-2010),Maternal Mortality Ratio Average (2011-2021)
182,Guinea,0.465,Africa,Northern Hemisphere,Low,0.698,0.6775,0.636,885.0,883.5,662.0
183,Yemen,0.455,Asia,Northern Hemisphere,Low,0.807,0.8015000000000001,0.8095,377.5,246.5,175.5
184,Burkina Faso,0.449,Africa,Northern Hemisphere,Low,0.68,0.646,0.617,616.5,450.5,348.5
185,Mozambique,0.446,Africa,Southern Hemisphere,Low,0.6185,0.5800000000000001,0.55,1129.5,605.0,339.0
186,Mali,0.428,Africa,Northern Hemisphere,Low,0.673,0.668,0.6425000000000001,898.5,748.0,612.5
187,Burundi,0.426,Africa,Southern Hemisphere,Low,0.655,0.5780000000000001,0.521,1160.0,837.5,591.5
188,Central African Republic,0.404,Africa,Northern Hemisphere,Low,0.731,0.7055,0.6799999999999999,1265.0,1140.0,905.0
189,Niger,0.4,Africa,Northern Hemisphere,Low,0.7945,0.743,0.6425000000000001,851.0,738.0,574.0
190,Chad,0.394,Africa,Northern Hemisphere,Low,,0.747,0.681,1360.0,1330.0,1175.0
191,South Sudan,0.385,Africa,Northern Hemisphere,Low,,,0.597,1880.0,1415.0,1110.0
