HDI rank,Country,Human Development Index (HDI Value) ,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,ISO3,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
73,Sri Lanka,0.782,76.4,14.1,10.8,"12,578",21,LKA,Asia,Northern Hemisphere,High,SA,0.46399999999999997,0.439,0.395
168,Lesotho,0.514,53.1,12.0,6.0,"2,700",-2,LSO,Africa,Southern Hemisphere,Low,SSA,0.5854999999999999,0.5715,0.557
35,Lithuania,0.875,73.7,16.3,13.5,"37,931",5,LTU,Europe,Northern Hemisphere,Very High,,0.2815,0.20600000000000002,0.129
17,Luxembourg,0.93,82.6,14.4,13.0,"84,649",-13,LUX,Europe,Northern Hemisphere,Very High,,0.1875,0.1395,0.0665
39,Latvia,0.863,73.6,16.2,13.3,"32,803",4,LVA,Europe,Northern Hemisphere,Very High,,0.3495,0.253,0.189
123,Morocco,0.683,74.0,14.2,5.9,"7,303",1,MAR,Africa,Northern Hemisphere,Medium,AS,0.7235,0.613,0.45899999999999996
173,Madagascar,0.501,64.5,10.1,5.1,"1,484",8,MDG,Africa,Southern Hemisphere,Low,SSA,0.637,0.62,0.577
90,Maldives,0.747,79.9,12.6,7.3,"15,448",-14,MDV,Asia,Northern Hemisphere,High,SA,0.6194999999999999,0.4525,0.3705
86,Mexico,0.758,70.2,14.9,9.2,"17,896",-16,MEX,America,Northern Hemisphere,High,LAC,0.482,0.434,0.35550000000000004
131,Marshall Islands,0.639,65.3,10.2,10.9,"4,620",12,MHL,Oceania,Northern Hemisphere,Medium,EAP,,,
78,North Macedonia,0.77,73.8,13.6,10.2,"15,918",-3,MKD,Europe,Northern Hemisphere,High,ECA,0.3785,0.252,0.15000000000000002
186,Mali,0.428,58.9,7.4,2.3,"2,133",-11,MLI,Africa,Northern Hemisphere,Low,SSA,0.673,0.668,0.6425000000000001
23,Malta,0.918,83.8,16.8,12.2,"38,884",12,MLT,Europe,Northern Hemisphere,Very High,,0.3015,0.2815,0.21350000000000002
149,Myanmar,0.585,65.7,10.9,6.4,"3,851",5,MMR,Asia,Northern Hemisphere,Medium,EAP,,0.555,0.5349999999999999
49,Montenegro,0.832,76.3,15.1,12.2,"20,839",16,MNE,Europe,Northern Hemisphere,Very High,ECA,,0.207,0.154
96,Mongolia,0.739,71.0,15.0,9.4,"10,588",9,MNG,Asia,Northern Hemisphere,High,EAP,0.478,0.425,0.364
185,Mozambique,0.446,59.3,10.2,3.2,"1,198",2,MOZ,Africa,Southern Hemisphere,Low,SSA,0.6185,0.5800000000000001,0.55
158,Mauritania,0.556,64.4,9.4,4.9,"5,075",-20,MRT,Africa,Northern Hemisphere,Medium,SSA,0.782,0.7005,0.643
63,Mauritius,0.802,73.6,15.2,10.4,"22,025",-1,MUS,Africa,Southern Hemisphere,Very High,SSA,0.4925,0.436,0.359
169,Malawi,0.512,62.9,12.7,4.5,"1,466",13,MWI,Africa,Southern Hemisphere,Low,SSA,0.7025,0.639,0.5715
62,Malaysia,0.803,74.9,13.3,10.6,"26,658",-8,MYS,Asia,Northern Hemisphere,Very High,EAP,0.344,0.2845,0.256
139,Namibia,0.615,59.3,11.9,7.2,"8,634",-23,NAM,Africa,Southern Hemisphere,Medium,SSA,0.55,0.5205,0.471
189,Niger,0.4,61.6,7.0,2.1,"1,240",-3,NER,Africa,Northern Hemisphere,Low,SSA,0.7945,0.743,0.6425000000000001
163,Nigeria,0.535,52.7,10.1,7.2,"4,790",-22,NGA,Africa,Northern Hemisphere,Low,SSA,,0.672,0.678
126,Nicaragua,0.667,73.8,12.6,7.1,"5,625",6,NIC,America,Northern Hemisphere,Medium,LAC,0.617,0.5445,0.441
10,Netherlands,0.941,81.7,18.7,12.6,"55,979",3,NLD,Europe,Northern Hemisphere,Very High,,0.107,0.076,0.036500000000000005
2,Norway,0.961,83.2,18.2,13.0,"64,660",6,NOR,Europe,Northern Hemisphere,Very High,,0.116,0.086,0.039
