HDI rank,Country,Human Development Index (HDI Value) ,ISO3,Continent,Hemisphere,Human Development Groups,Gender Inequality Index Average (1990-1999),Gender Inequality Index Average (2000-2010),Gender Inequality Index Average (2011-2021)
156,Papua New Guinea,0.558,PNG,Oceania,Southern Hemisphere,Medium,0.6625000000000001,0.6545000000000001,0.6885
34,Poland,0.876,POL,Europe,Northern Hemisphere,Very High,0.23450000000000001,0.1825,0.1305
38,Portugal,0.866,PRT,Europe,Northern Hemisphere,Very High,0.223,0.161,0.0935
105,Paraguay,0.717,PRY,America,Southern Hemisphere,High,0.5800000000000001,0.5225,0.46399999999999997
106,"Palestine, State of",0.715,PSE,Asia,Northern Hemisphere,High,,,
42,Qatar,0.855,QAT,Asia,Northern Hemisphere,Very High,,0.541,0.38
53,Romania,0.821,ROU,Europe,Northern Hemisphere,Very High,0.48,0.396,0.3115
52,Russian Federation,0.822,RUS,Europe,Northern Hemisphere,Very High,0.41900000000000004,0.355,0.252
165,Rwanda,0.534,RWA,Africa,Southern Hemisphere,Low,0.599,0.5065,0.41500000000000004
35,Saudi Arabia,0.875,SAU,Asia,Northern Hemisphere,Very High,,0.651,0.445
172,Sudan,0.508,SDN,Africa,Northern Hemisphere,Low,0.728,0.659,0.5785
170,Senegal,0.511,SEN,Africa,Northern Hemisphere,Low,0.6695,0.6225,0.5549999999999999
12,Singapore,0.939,SGP,Asia,Northern Hemisphere,Very High,0.2565,0.17450000000000002,0.063
155,Solomon Islands,0.564,SLB,Oceania,Southern Hemisphere,Medium,,,
181,Sierra Leone,0.477,SLE,Africa,Northern Hemisphere,Low,0.691,0.6745,0.6445000000000001
125,El Salvador,0.675,SLV,America,Northern Hemisphere,Medium,0.5215000000000001,0.47650000000000003,0.4
44,San Marino,0.853,SMR,Europe,Northern Hemisphere,Very High,,,
63,Serbia,0.802,SRB,Europe,Northern Hemisphere,Very High,,0.194,0.1615
191,South Sudan,0.385,SSD,Africa,Northern Hemisphere,Low,,,0.597
138,Sao Tome and Principe,0.618,STP,Africa,Northern Hemisphere,Medium,0.6174999999999999,0.5745,0.5195000000000001
99,Suriname,0.73,SUR,America,Northern Hemisphere,High,,0.517,0.4625
45,Slovakia,0.848,SVK,Europe,Northern Hemisphere,Very High,0.253,0.20900000000000002,0.19
23,Slovenia,0.918,SVN,Europe,Northern Hemisphere,Very High,0.2395,0.1585,0.0745
7,Sweden,0.947,SWE,Europe,Northern Hemisphere,Very High,0.08,0.055999999999999994,0.0375
72,Seychelles,0.785,SYC,Africa,Southern Hemisphere,High,,,
150,Syrian Arab Republic,0.577,SYR,Asia,Northern Hemisphere,Medium,0.5165,0.485,0.484
190,Chad,0.394,TCD,Africa,Northern Hemisphere,Low,,0.747,0.681
162,Togo,0.539,TGO,Africa,Northern Hemisphere,Low,0.732,0.6435,0.604
66,Thailand,0.8,THA,Asia,Northern Hemisphere,Very High,0.4295,0.392,0.351
122,Tajikistan,0.685,TJK,Asia,Northern Hemisphere,Medium,0.5295000000000001,0.38,0.314
91,Turkmenistan,0.745,TKM,Asia,Northern Hemisphere,High,0.3,0.235,0.1945
140,Timor-Leste,0.607,TLS,Asia,Southern Hemisphere,Medium,,0.453,0.40800000000000003
91,Tonga,0.745,TON,Oceania,Southern Hemisphere,High,0.6885,0.655,0.5295
57,Trinidad and Tobago,0.81,TTO,America,Northern Hemisphere,Very High,0.4285,0.3835,0.3565
97,Tunisia,0.731,TUN,Africa,Northern Hemisphere,High,0.48000000000000004,0.34199999999999997,0.27449999999999997
130,Tuvalu,0.641,TUV,Oceania,Southern Hemisphere,Medium,,,
166,Uganda,0.525,UGA,Africa,Northern Hemisphere,Low,0.653,0.6005,0.542
77,Ukraine,0.773,UKR,Europe,Northern Hemisphere,High,0.4195,0.34099999999999997,0.259
